"dyadidyr","ccode_1","ccode_2","year","stateabb_1","majpow_1","numGPs","numstates","milex_1","milper_1","irst_1","pec_1","tpop_1","upop_1","cap_1","stateabb_2","majpow_2","milex_2","milper_2","irst_2","pec_2","tpop_2","upop_2","cap_2","dyad","conttype","colcont","alliance","distance"
200101881,200,101,1881,"UKG",1,6,37,22350,247,8275,138269,34934,9474,0.216477110981941,"VEN",0,-9,2,0,0,2075,0,0.000559518928639591,NA,0,0,0,7495.81201171875
200101886,200,101,1886,"UKG",1,6,36,29412,265,7122,137935,36313,10400,0.200533032417297,"VEN",0,-9,3,0,1,2196,0,0.000613552867434919,NA,0,0,0,7495.81201171875
200101887,200,101,1887,"UKG",1,6,38,27740,273,7681,141800,36598,10597,0.194657191634178,"VEN",0,161,2,0,3,2221,0,0.00060945627046749,NA,0,0,0,7495.81201171875
200101901,200,101,1901,"UKG",1,8,42,116896,521,4983,181916,41538,13769,0.174210786819458,"VEN",0,406,9,0,56,2450,0,0.000831061333883554,NA,0,0,0,7495.81201171875
200101902,200,101,1902,"UKG",1,8,43,93419,489,4988,188800,41893,13932,0.161253571510315,"VEN",0,512,9,0,46,2460,0,0.000879080849699676,NA,0,0,0,7495.81201171875
200101903,200,101,1903,"UKG",1,8,44,66400,416,5115,189999,42247,14098,0.142976775765419,"VEN",0,551,9,0,53,2470,0,0.000908051268197596,NA,0,0,0,7495.81201171875
200101982,200,101,1982,"UKG",1,5,159,24169041,335,13704,309737,56318,35501,0.0237278509885073,"VEN",0,1142338,56,2215,95618,15940,7290,0.00447592884302139,NA,0,0,0,7495.81201171875
200140826,200,140,1826,"UKG",1,5,25,11475,149,520,27703,22576,2513,0.329824775457382,"BRA",0,-9,18,0,0,4901,0,0.00578703079372644,NA,0,0,0,8797.828125
200140838,200,140,1838,"UKG",1,5,30,8531,155,1120,37976,25904,3437,0.303915590047836,"BRA",0,1268,15,0,2,5987,0,0.00850366521626711,NA,0,0,0,8797.828125
200140839,200,140,1839,"UKG",1,5,32,9737,159,1250,39345,26199,3531,0.309370368719101,"BRA",0,1450,15,0,9,6087,0,0.00879455264657736,NA,0,0,0,8797.828125
200140840,200,140,1840,"UKG",1,5,32,10028,168,1400,40982,26488,3627,0.311305165290833,"BRA",0,2356,17,0,8,6190,0,0.0106386356055737,NA,0,0,0,8797.828125
200140841,200,140,1841,"UKG",1,5,34,10730,173,1330,41939,26751,3726,0.307744115591049,"BRA",0,1903,19,0,15,6294,0,0.0094227148219943,NA,0,0,0,8797.828125
200140842,200,140,1842,"UKG",1,5,35,10836,184,1080,42193,27004,3808,0.297635167837143,"BRA",0,2358,22,0,21,6400,0,0.0107218353077769,NA,0,0,0,8797.828125
200140845,200,140,1845,"UKG",1,5,36,11869,178,2200,48618,27776,4065,0.318205058574677,"BRA",0,1812,23,0,31,6728,101,0.0110493423417211,NA,0,0,0,8797.828125
200140846,200,140,1846,"UKG",1,5,37,13117,191,2210,50672,28002,4154,0.302888244390488,"BRA",0,1676,20,0,31,6841,102,0.00962166953831911,NA,0,0,0,8797.828125
200140849,200,140,1849,"UKG",1,5,39,12008,203,2170,56525,27714,4435,0.304769039154053,"BRA",0,-9,20,0,37,7192,106,0.00736112194135785,NA,0,0,0,8797.828125
200140850,200,140,1850,"UKG",1,5,39,11606,201,2250,59236,27524,4533,0.3041712641716,"BRA",0,-9,20,0,51,7313,107,0.00733658391982317,NA,0,0,0,8797.828125
200140851,200,140,1851,"UKG",1,5,40,10941,198,2500,61848,27393,4633,0.30549418926239,"BRA",0,-9,20,0,53,7344,108,0.00744067318737507,NA,0,0,0,8797.828125
200140852,200,140,1852,"UKG",1,5,40,10132,201,2700,64765,27448,4734,0.298613965511322,"BRA",0,2431,23,0,56,7456,110,0.0114167165011168,NA,0,0,0,8797.828125
200140862,200,140,1862,"UKG",1,6,41,23575,305,4006,82989,29245,5891,0.250594258308411,"BRA",0,-9,18,0,172,8678,179,0.004763288423419,NA,0,0,0,8797.828125
200140863,200,140,1863,"UKG",1,6,41,22204,312,4582,87608,29471,6033,0.250991463661194,"BRA",0,2167,17,0,181,8810,193,0.00544943753629923,NA,0,0,0,8797.828125
200140895,200,140,1895,"UKG",1,7,39,35743,309,7827,161765,39221,12306,0.171924144029617,"BRA",0,-9,32,0,568,15960,1328,0.00901854503899813,NA,0,0,0,8797.828125
200140940,200,140,1940,"UKG",1,7,62,9948329,1020,13183,232740,48226,18502,0.0949571430683136,"BRA",0,74888,103,141,4425,41114,4275,0.00925977621227503,NA,0,0,0,8797.828125
